550 1280
84 302 940
476 303 277
44 304 888
122 305 891
291 306 138
233 307 893
209 308 319
180 309 64
373 310 981
335 311 195
232 312 163
339 313 521
284 314 335
289 315 125
122 316 764
337 317 549
352 318 294
204 319 622
532 320 924
357 321 264
16 322 325
201 323 550
132 324 878
232 325 841
507 326 21
256 327 283
436 328 890
38 329 836
408 330 601
199 331 539
393 332 721
251 333 407
16 334 974
20 335 133
232 336 979
142 337 74
289 338 899
180 339 931
143 340 743
408 341 700
374 342 200
264 343 548
280 344 597
152 345 339
524 346 774
365 347 197
68 348 584
292 349 750
204 350 643
501 351 35
220 352 868
387 353 161
265 354 119
374 355 781
284 356 165
220 357 986
305 358 207
252 359 555
532 360 127
146 361 273
20 362 335
305 363 135
242 364 666
84 365 445
244 366 639
89 367 309
101 368 50
325 369 799
426 370 414
245 371 981
488 372 809
204 373 791
305 374 145
505 375 194
311 376 525
548 377 229
71 378 655
519 379 172
476 380 719
544 381 874
169 382 911
379 383 539
245 384 655
32 385 795
252 386 371
440 387 471
292 388 984
88 389 668
519 390 474
71 391 226
302 392 585
277 393 378
9 394 184
74 395 962
105 396 797
36 397 285
479 398 793
400 399 382
228 400 644
180 401 994
17 402 729
201 403 22
200 404 951
543 405 201
76 406 563
209 407 795
538 408 390
284 409 32
507 410 487
200 411 594
251 412 843
459 413 689
269 414 954
133 415 908
337 416 111
528 417 50
195 418 934
271 419 88
465 420 550
332 421 362
224 422 312
336 423 477
9 424 74
252 425 166
368 426 111
162 427 642
215 428 41
302 429 258
182 430 426
157 431 649
340 432 771
425 433 121
39 434 589
118 435 992
244 436 995
408 437 647
56 438 601
71 439 653
453 440 418
130 441 915
312 442 372
129 443 266
287 444 290
75 445 102
498 446 270
494 447 413
220 448 685
166 449 456
547 450 605
441 451 557
482 452 594
262 453 713
220 454 836
512 455 569
152 456 695
334 457 88
543 458 758
486 459 949
518 460 675
163 461 658
207 462 555
319 463 152
486 464 631
47 465 618
519 466 775
69 467 724
379 468 516
397 469 153
157 470 276
83 471 185
97 472 423
66 473 574
246 474 775
243 475 918
464 476 927
232 477 384
482 478 879
16 479 708
107 480 134
449 481 669
277 482 488
6 483 781
107 484 311
224 485 525
238 486 345
179 487 153
349 488 773
21 489 501
143 490 681
349 491 796
315 492 943
96 493 883
75 494 125
216 495 956
79 496 474
482 497 720
141 498 524
170 499 973
153 500 105
68 501 965
512 502 166
301 503 885
298 504 120
73 505 954
248 506 153
84 507 508
74 508 145
119 509 132
233 510 643
280 511 599
58 512 722
214 513 314
215 514 554
484 515 478
357 516 422
397 517 476
281 518 114
398 519 197
366 520 189
108 521 979
252 522 671
274 523 767
349 524 245
17 525 653
271 526 214
198 527 706
53 528 402
384 529 291
43 530 762
179 531 785
435 532 500
144 533 216
237 534 605
325 535 225
390 536 690
82 537 384
199 538 897
500 539 196
289 540 74
83 541 382
512 542 848
153 543 105
194 544 447
377 545 945
509 546 295
278 547 116
292 548 421
129 549 888
482 550 724
541 113 102
444 316 306
426 263 124
485 541 536
221 254 788
419 237 647
431 273 699
260 486 973
474 112 42
465 369 342
145 549 814
318 276 662
272 146 63
381 503 816
351 394 141
150 112 327
60 353 594
116 252 297
256 488 868
371 461 568
67 70 81
146 16 702
368 397 261
424 161 883
62 279 380
488 510 130
430 146 519
342 251 135
409 36 462
460 306 785
252 365 893
159 456 871
69 205 228
312 178 205
196 234 951
489 135 320
547 213 271
268 408 667
146 259 860
287 407 89
119 260 58
292 185 764
371 516 876
113 339 806
423 357 634
539 468 638
103 308 183
283 216 732
249 520 390
253 292 746
210 243 118
339 436 111
262 254 19
368 485 791
472 199 362
132 258 393
328 386 382
90 124 669
6 273 62
523 210 304
192 218 752
532 63 735
411 395 850
152 252 99
110 48 65
300 357 339
10 127 510
179 377 230
303 248 664
296 528 208
498 248 874
33 170 809
330 65 918
257 388 456
468 311 868
480 169 464
321 503 995
360 146 383
218 403 547
150 536 270
482 45 765
89 221 349
503 353 236
41 141 716
46 65 435
374 251 830
367 109 892
455 374 839
139 423 556
517 170 756
227 389 665
279 364 609
323 418 724
26 373 410
242 200 24
413 209 234
480 211 834
372 187 163
252 90 91
238 30 30
149 260 549
35 22 966
204 507 332
309 272 481
332 77 175
380 189 987
21 44 850
98 138 229
89 489 143
248 373 52
214 362 633
79 169 988
324 211 546
281 251 571
326 239 60
330 24 208
486 447 394
355 365 957
201 439 442
196 510 558
483 218 987
92 529 107
310 223 785
230 320 628
315 145 760
119 314 805
312 125 711
377 366 678
22 492 355
222 187 557
182 550 639
406 110 449
222 424 189
324 540 648
202 465 670
219 250 489
548 430 677
515 440 74
526 319 635
248 471 900
415 154 485
365 42 347
479 392 923
189 501 918
48 296 24
272 319 755
110 52 785
335 88 480
294 339 776
508 502 734
447 131 860
287 521 355
303 236 840
57 334 881
43 518 166
13 547 121
410 20 494
429 371 190
419 268 304
135 84 441
529 387 268
114 166 384
283 236 427
228 265 446
293 43 225
252 175 835
210 472 258
250 515 25
52 313 140
46 317 835
59 419 508
515 223 454
185 120 864
327 376 474
111 328 509
537 490 865
544 157 947
457 42 44
542 239 372
296 361 976
341 213 679
368 466 495
239 231 404
106 89 394
126 329 194
257 503 504
441 29 135
140 489 167
32 549 304
271 223 203
111 461 634
86 368 595
407 234 328
519 200 852
195 543 234
166 496 647
464 257 436
478 219 801
93 169 276
281 277 950
38 319 204
476 47 168
428 55 12
216 55 244
518 457 334
469 543 960
305 353 421
75 446 782
378 327 544
43 413 368
523 192 792
334 342 124
372 105 716
546 489 82
95 245 819
212 37 850
507 176 737
531 91 219
476 323 505
478 93 964
440 426 34
385 128 337
432 19 349
303 298 697
36 33 584
50 406 335
182 220 413
254 110 189
215 341 176
422 241 210
35 416 676
422 289 943
493 171 260
190 144 559
549 249 543
32 180 434
149 8 496
515 513 836
514 250 703
375 149 228
86 216 6
26 534 987
97 338 972
377 152 399
431 491 559
460 37 630
436 110 832
356 121 893
399 302 49
441 520 672
98 100 915
186 548 831
126 221 256
259 260 113
468 386 208
278 365 302
4 234 479
371 221 594
498 213 725
331 130 286
422 392 184
54 14 491
503 134 429
102 438 433
25 261 88
448 44 668
152 58 935
269 99 862
300 48 833
227 89 334
501 404 430
209 168 206
92 213 897
507 312 168
278 74 317
398 110 648
517 16 938
258 81 631
373 312 318
265 492 444
289 21 298
31 169 99
423 71 922
534 300 672
467 121 786
321 1 223
265 176 650
55 287 519
546 194 603
158 53 974
166 176 787
312 301 978
224 355 765
189 59 408
123 483 96
232 66 91
506 521 796
456 473 213
483 410 215
319 293 588
378 282 603
297 81 664
549 413 322
288 230 698
296 287 940
187 52 477
209 452 756
373 215 55
141 461 710
325 244 361
403 351 65
266 310 722
182 201 226
544 521 141
423 49 150
405 469 685
24 421 570
445 86 15
71 527 886
241 91 387
492 167 453
369 215 198
392 490 125
198 200 839
251 327 952
206 55 155
96 500 739
171 232 247
81 464 766
511 548 814
302 414 226
322 274 703
259 532 364
415 37 566
88 277 729
37 213 973
159 359 371
55 128 890
223 321 949
95 312 35
142 447 113
85 303 899
363 303 792
465 287 466
340 491 7
179 454 425
122 61 676
400 189 973
241 347 803
229 81 52
110 493 123
234 310 480
64 280 603
377 534 682
497 312 762
265 375 877
395 14 280
313 424 956
160 127 24
409 73 441
465 502 116
354 98 435
541 478 968
221 541 988
385 486 678
32 485 151
101 194 581
267 29 398
94 48 798
241 467 176
326 446 397
420 18 585
487 13 827
72 330 941
107 358 794
70 114 452
123 59 896
358 316 991
109 326 999
123 508 286
495 509 730
36 54 56
308 113 493
317 134 682
379 127 586
538 527 771
106 484 508
471 429 672
471 377 115
435 477 730
116 525 299
208 190 598
62 332 215
102 471 186
127 313 737
461 510 43
520 182 292
392 131 138
445 52 101
86 376 752
4 191 258
533 125 368
186 448 163
486 547 240
126 414 294
486 64 475
394 201 817
30 168 179
223 7 45
395 44 79
451 526 732
258 259 423
223 412 740
77 197 778
185 62 151
387 531 317
447 329 662
302 66 607
24 150 355
317 121 522
375 198 602
319 533 631
362 394 367
301 135 946
79 466 65
196 140 878
303 128 659
464 73 953
79 463 848
334 264 800
423 349 414
245 316 33
166 527 976
169 225 179
284 412 108
469 532 405
59 316 286
288 10 633
250 355 525
61 149 913
372 216 901
508 192 353
115 210 159
34 418 613
92 481 705
463 432 829
42 459 178
256 35 499
376 28 879
129 85 713
58 324 399
519 242 530
466 92 757
44 385 41
520 66 525
197 534 170
463 531 408
516 153 811
518 12 728
155 458 211
516 188 749
266 278 266
389 108 213
73 274 130
125 500 845
328 77 707
396 217 400
329 463 1
335 110 813
81 539 450
212 392 572
31 206 972
12 40 946
127 321 428
63 195 614
232 355 825
208 368 954
496 511 166
113 454 761
41 261 917
179 273 426
480 50 228
345 461 967
52 423 22
100 188 291
118 78 238
396 228 693
21 512 640
237 220 247
106 537 480
147 70 642
220 157 618
413 296 63
367 313 315
230 70 493
197 83 394
273 504 578
527 27 304
428 61 980
48 417 735
491 49 904
504 343 551
382 164 576
66 68 1000
113 515 502
310 484 997
322 418 351
84 427 538
441 494 488
422 247 972
56 470 817
186 176 727
309 97 115
432 190 335
253 178 715
384 293 643
426 256 20
95 173 363
192 269 314
63 99 900
507 216 711
468 469 360
391 121 167
86 456 974
535 467 658
62 542 346
261 320 629
504 266 979
435 8 884
183 6 504
88 495 681
193 528 792
379 198 896
56 494 668
544 204 290
35 108 322
454 311 506
226 524 204
240 83 725
260 475 905
294 171 627
453 41 734
521 34 738
188 347 275
53 398 673
297 56 412
51 447 927
547 135 545
102 141 947
535 98 938
90 114 180
309 420 71
411 20 5
497 432 88
44 347 893
80 241 794
487 123 604
413 334 244
343 257 985
205 204 145
454 465 139
389 63 825
35 365 194
547 279 737
338 242 31
35 132 497
463 20 119
262 16 597
199 3 188
462 401 133
166 323 570
49 168 481
71 471 947
492 52 889
18 177 929
102 484 758
360 288 739
419 194 652
519 272 90
380 524 109
480 436 893
165 546 755
391 141 213
240 112 459
490 173 54
419 437 509
522 164 216
187 256 144
266 172 424
379 250 101
265 351 653
43 510 49
413 87 592
218 430 752
51 479 163
255 503 660
305 169 757
12 466 903
209 189 246
301 245 254
110 285 233
124 51 478
454 434 398
384 400 345
277 164 506
237 262 819
439 435 699
345 288 311
516 469 653
7 43 126
344 144 966
292 538 989
125 363 624
260 191 170
332 194 56
120 321 51
520 208 205
64 385 37
91 501 19
281 487 73
454 60 802
330 122 485
140 183 832
383 434 454
285 319 518
340 251 122
471 500 128
419 455 739
451 251 293
495 498 343
321 153 314
446 126 440
264 477 901
282 239 331
203 379 139
215 26 223
339 119 296
341 495 387
155 412 774
289 276 650
91 274 963
4 279 303
11 28 587
39 17 157
92 233 310
394 80 901
243 513 183
485 331 35
21 2 369
524 477 8
230 2 878
168 343 676
64 200 737
143 446 941
152 506 371
501 234 252
201 23 509
404 332 551
251 234 919
528 34 551
340 549 585
338 384 764
437 422 461
41 222 718
88 170 246
406 357 139
255 544 844
468 375 294
120 196 402
270 436 998
406 162 966
109 247 859
101 510 231
308 169 577
262 13 864
366 360 44
60 158 253
529 390 114
202 169 519
467 81 273
69 500 914
139 99 806
20 514 360
325 47 122
435 237 805
330 504 693
331 277 605
312 50 811
91 4 425
268 367 358
157 486 254
410 150 123
176 353 529
24 131 535
297 188 130
229 470 641
140 280 594
22 192 196
50 408 122
408 301 399
68 142 612
414 72 702
78 445 286
265 207 804
87 317 362
103 18 862
418 121 752
526 164 391
317 418 677
162 214 799
527 338 417
538 50 447
257 181 949
251 81 70
454 534 150
230 201 208
80 128 631
353 385 400
312 374 928
478 268 648
173 351 381
522 448 796
489 214 232
22 38 993
115 431 319
275 419 112
28 487 955
240 59 18
222 437 917
351 460 772
327 478 928
